Negotiation_ID,Product_Name,Listed_Price,Offered_Price,Final_Price,Discount_%,Buyer_Message,Seller_Message,Sentiment,Outcome
NEG0001,Kurta,8305.0,6560.0,7076.0,14.8,"I’m a regular customer, please give a better deal.","If you buy more, I can give a small discount.",Neutral,Accepted
NEG0002,Plumbing,6095.0,4405.0,4405.0,27.73,Can you please lower the price a bit?,"Okay, I can reduce a little for you.",Neutral,Accepted
NEG0003,Home Painting,8940.0,8206.0,8206.0,8.21,Is there any discount if I buy more?,"Sorry, the price is already discounted.",Negative,Accepted
NEG0004,Saree,1941.0,1173.0,1491.0,23.18,Can you make it a round number?,This is the best price I can offer.,Negative,Pending
NEG0005,Bag,1932.0,1655.0,1655.0,14.34,"That's too expensive, I can pay less.",This is the best price I can offer.,Negative,Accepted
NEG0006,Jeans,8516.0,5779.0,5779.0,32.14,"If I pay in cash, can I get a discount?",This is the best price I can offer.,Negative,Accepted
NEG0007,T-shirt,6704.0,3687.0,3751.0,44.05,"Your price seems high, can we settle in between?",This is the best price I can offer.,Neutral,Pending
NEG0008,Kurta,2395.0,2200.0,2200.0,8.14,Can you make it a round number?,"Okay, I can reduce a little for you.",Neutral,Accepted
NEG0009,Jacket,547.0,456.0,456.0,16.64,Can you please lower the price a bit?,"Okay deal, I’ll accept that price.",Neutral,Accepted
NEG0010,Catering,9065.0,5310.0,7324.0,19.21,"Your price seems high, can we settle in between?","Alright, let’s meet halfway.",Negative,Rejected
NEG0011,Table,3204.0,1897.0,2825.0,11.83,"Your price seems high, can we settle in between?","Alright, let’s meet halfway.",Positive,Accepted
NEG0012,T-shirt,6968.0,3645.0,3645.0,47.69,Is there any discount if I buy more?,"If you buy more, I can give a small discount.",Neutral,Accepted
NEG0013,Table,7076.0,5736.0,6416.0,9.33,"Your price seems high, can we settle in between?",This is the best price I can offer.,Negative,Accepted
NEG0014,Table,4230.0,3653.0,3827.0,9.53,Can you make it a round number?,"Sorry, the price is already discounted.",Positive,Pending
NEG0015,Plumbing,8527.0,6746.0,6746.0,20.89,"Your price seems high, can we settle in between?","If you buy more, I can give a small discount.",Negative,Accepted
