iter	Passed	Remaining
0	205	164364
1	297	118870
2	372	98889
3	395	78728
4	420	66813
5	496	65694
6	586	66404
7	671	66430
8	746	65650
9	785	62033
10	836	59989
11	858	56396
12	878	53170
13	964	54127
14	1006	52652
15	1084	53128
16	1122	51713
17	1139	49486
18	1177	48396
19	1194	46583
20	1210	44917
21	1281	45325
22	1379	46610
23	1400	45278
24	1427	44260
25	1455	43318
26	1480	42378
27	1507	41564
28	1607	42740
29	1633	41916
30	1706	42338
31	1784	42834
32	1802	41899
33	1828	41200
34	1958	42799
35	2001	42480
36	2034	41954
37	2051	41132
38	2068	40361
39	2090	39728
40	2128	39402
41	2185	39440
42	2256	39723
43	2296	39452
44	2332	39129
45	2415	39585
46	2494	39969
47	2575	40343
48	2657	40724
49	2688	40322
50	2740	40246
51	2771	39861
52	2847	40139
53	2901	40081
54	2926	39634
55	2963	39378
56	2993	39024
57	3048	38998
58	3125	39255
59	3156	38928
60	3234	39188
61	3297	39247
62	3324	38889
63	3405	39162
64	3422	38703
65	3462	38508
66	3491	38195
67	3513	37823
68	3553	37647
69	3592	37462
70	3669	37678
71	3746	37885
72	3792	37766
73	3861	37879
74	3945	38144
75	3999	38101
76	4074	38254
77	4125	38184
78	4175	38109
79	4199	37799
80	4272	37925
81	4356	38141
82	4388	37913
83	4430	37766
84	4511	37951
85	4587	38084
86	4662	38210
87	4702	38050
88	4788	38255
89	4883	38521
90	4914	38293
91	4975	38286
92	4999	38008
93	5072	38095
94	5147	38199
95	5227	38335
96	5311	38491
97	5366	38438
98	5444	38548
99	5520	38645
100	5596	38735
101	5670	38804
102	5750	38911
103	5781	38689
104	5823	38548
105	5878	38486
106	5955	38573
107	6039	38698
108	6077	38526
109	6107	38307
110	6183	38382
111	6262	38472
112	6338	38534
113	6375	38366
114	6458	38473
115	6538	38555
116	6626	38681
117	6680	38611
118	6767	38726
119	6853	38837
120	6912	38791
121	6991	38852
122	7034	38717
123	7121	38822
124	7168	38709
125	7253	38801
126	7340	38898
127	7423	38972
128	7501	39016
129	7589	39112
130	7667	39155
131	7752	39229
132	7795	39093
133	7897	39252
134	7991	39363
135	8072	39411
136	8156	39473
137	8228	39472
138	8306	39500
139	8384	39528
140	8457	39526
141	8512	39447
142	8592	39478
143	8670	39497
144	8751	39532
145	8812	39474
146	8887	39480
147	8971	39522
148	9024	39427
149	9101	39440
150	9183	39469
151	9257	39466
152	9341	39503
153	9395	39412
154	9476	39434
155	9561	39471
156	9618	39394
157	9703	39429
158	9791	39472
159	9869	39478
160	9924	39389
161	9956	39210
162	10043	39249
163	10121	39250
164	10204	39270
165	10283	39274
166	10364	39284
167	10420	39200
168	10499	39203
169	10576	39194
170	10653	39188
171	10734	39192
172	10819	39212
173	10915	39269
174	11016	39345
175	11101	39360
176	11144	39224
177	11225	39225
178	11309	39234
179	11389	39231
180	11475	39245
181	11561	39259
182	11631	39215
183	11706	39192
184	11785	39179
185	11870	39184
186	11948	39166
187	12035	39179
188	12113	39161
189	12184	39119
190	12270	39123
191	12346	39096
192	12425	39077
193	12500	39049
194	12556	38956
195	12633	38932
196	12716	38922
197	12790	38889
198	12872	38875
199	12954	38862
200	13028	38826
201	13201	39080
202	13277	39047
203	13351	39007
204	13428	38974
205	13500	38927
206	13578	38899
207	13652	38857
208	13726	38816
209	13802	38777
210	13877	38738
211	13966	38737
212	14041	38696
213	14113	38647
214	14190	38611
215	14280	38611
216	14357	38573
217	14438	38546
218	14512	38502
219	14596	38482
220	14689	38485
221	14779	38481
222	14805	38309
223	14880	38265
224	14961	38235
225	15004	38109
226	15080	38066
227	15153	38017
228	15234	37986
229	15287	37885
230	15368	37854
231	15438	37798
232	15513	37750
233	15589	37707
234	15674	37686
235	15754	37651
236	15828	37599
237	15909	37567
238	15986	37523
239	16039	37424
240	16130	37414
241	16211	37381
242	16292	37346
243	16362	37284
244	16408	37170
245	16459	37066
246	16539	37030
247	16622	36997
